params_id,dataset,algorithm,f1,precision,recall,support,predicted,files,estimator,smoothing,period,s_w,p_w,half_d_w,q,delay,errors
S1PNA_SW6_Q0.0025,JMeter,FluxEV,0.16153086961289614,0.9859437751004017,0.08797181079789776,16744,1494,7,MOM,1,,6,5,2,0.0025,7,0
S1PNA_SW6_Q0.0025,Prometheus 27 指标,FluxEV,0.5083834453484259,0.9480211081794195,0.3473175447075882,10345,3790,27,MOM,1,,6,5,2,0.0025,7,0
S1PNA_SW6_Q0.003,JMeter,FluxEV,0.1846720069279065,0.9849884526558892,0.10188724319159102,16744,1732,7,MOM,1,,6,5,2,0.003,7,0
S1PNA_SW6_Q0.003,Prometheus 27 指标,FluxEV,0.5075575646277724,0.9423026488329399,0.3473175447075882,10345,3813,27,MOM,1,,6,5,2,0.003,7,0
S1PNA_SW6_Q0.0035,JMeter,FluxEV,0.18464202608366254,0.98328530259366,0.10188724319159102,16744,1735,7,MOM,1,,6,5,2,0.0035,7,0
S1PNA_SW6_Q0.0035,Prometheus 27 指标,FluxEV,0.5066986320688197,0.9364086525931717,0.3473175447075882,10345,3837,27,MOM,1,,6,5,2,0.0035,7,0
S1PNA_SW6_Q0.004,JMeter,FluxEV,0.22986444432723244,0.9837471783295711,0.13013616817964643,16744,2215,7,MOM,1,,6,5,2,0.004,7,0
S1PNA_SW6_Q0.004,Prometheus 27 指标,FluxEV,0.47725310486816763,0.7625212224108658,0.3473175447075882,10345,4712,27,MOM,1,,6,5,2,0.004,7,0
S1PNA_SW6_Q0.0045,JMeter,FluxEV,0.2519660434352377,0.9845339845339846,0.1444696607740086,16744,2457,7,MOM,1,,6,5,2,0.0045,7,0
S1PNA_SW6_Q0.0045,Prometheus 27 指标,FluxEV,0.4547772967202419,0.5883977900552486,0.37061382310294827,10345,6516,27,MOM,1,,6,5,2,0.0045,7,0
S1PNA_SW6_Q0.005,JMeter,FluxEV,0.2728956575427043,0.9851411589895989,0.15838509316770186,16744,2692,7,MOM,1,,6,5,2,0.005,7,0
S1PNA_SW6_Q0.005,Prometheus 27 指标,FluxEV,0.4298739474864232,0.4435533621221468,0.41701304978250364,10345,9726,27,MOM,1,,6,5,2,0.005,7,0
S1PNA_SW8_Q0.002,JMeter,FluxEV,0.19964559952746602,0.9893560404470463,0.1110248447204969,16744,1879,7,MOM,1,,8,5,2,0.002,7,0
S1PNA_SW8_Q0.002,Prometheus 27 指标,FluxEV,0.5096815376977091,0.9571124134256793,0.3473175447075882,10345,3754,27,MOM,1,,8,5,2,0.002,7,0
S1PNA_SW8_Q0.0025,JMeter,FluxEV,0.19961344357349942,0.987778958554729,0.1110248447204969,16744,1882,7,MOM,1,,8,5,2,0.0025,7,0
S1PNA_SW8_Q0.0025,Prometheus 27 指标,FluxEV,0.5086713385715297,0.9500264410364886,0.3473175447075882,10345,3782,27,MOM,1,,8,5,2,0.0025,7,0
